	Count
hsa-mir-1262	8
hsa-mir-550a-3-5p	8
hsa-mir-185-3p	8
hsa-mir-1247-5p	8
hsa-mir-197-5p	8
hsa-mir-570-3p	8
hsa-mir-7854-3p	7
hsa-mir-301b-5p	7
hsa-mir-935	7
hsa-mir-4645-3p	7
hsa-mir-141-5p	7
hsa-mir-466	7
hsa-mir-6770-3p	7
hsa-mir-4504	7
hsa-mir-5580-5p	7
hsa-mir-29b-1-5p	7
hsa-mir-5683	7
hsa-mir-449b-5p	7
hsa-mir-675-3p	7
hsa-mir-548p	7
hsa-mir-1306-3p	7
hsa-mir-3912-3p	7
hsa-mir-5091	7
hsa-mir-1469	7
hsa-mir-95-5p	7
hsa-mir-381-3p	7
hsa-mir-1180-5p	7
hsa-mir-6088	7
hsa-mir-4440	6
hsa-mir-1229-3p	6
hsa-mir-1227-3p	6
hsa-mir-4768-5p	6
hsa-mir-145-3p	6
hsa-mir-4785	6
hsa-mir-624-3p	6
hsa-mir-5094	6
hsa-mir-548l	6
hsa-mir-548c-3p	6
hsa-mir-548d-3p	6
hsa-mir-3652	6
hsa-mir-3611	6
hsa-mir-1256	6
hsa-mir-4519	6
hsa-mir-4672	6
hsa-mir-943	6
hsa-mir-4734	6
hsa-mir-4512	6
hsa-mir-187-3p	6
hsa-mir-4671-5p	6
hsa-mir-3605-3p	6
hsa-mir-450a-5p	6
hsa-mir-219a-5p	6
hsa-mir-1224-5p	6
hsa-mir-193b-5p	6
hsa-mir-146b-3p	6
hsa-mir-1243	6
hsa-mir-18a-5p	6
hsa-mir-3127-3p	6
hsa-mir-3688-3p	6
hsa-mir-34c-5p	6
hsa-mir-30a-3p	6
hsa-mir-3163	6
hsa-mir-548aq-5p	6
hsa-mir-3916	6
hsa-mir-4762-5p	6
hsa-mir-18a-3p	6
hsa-mir-3934-5p	6
hsa-mir-3681-5p	6
hsa-mir-4755-3p	6
hsa-mir-489-3p	6
hsa-mir-1908-3p	5
hsa-mir-874-3p	5
hsa-mir-939-5p	5
hsa-mir-548s	5
hsa-mir-1234-3p	5
hsa-mir-7703	5
