	Count
hsa-mir-4738-3p	24
hsa-mir-3159	24
hsa-mir-1468-5p	24
hsa-mir-615-5p	24
hsa-mir-483-3p	24
hsa-mir-4707-3p	24
hsa-mir-196a-1-3p	24
hsa-mir-4746-5p	24
hsa-mir-1304-5p	24
hsa-mir-3917	23
hsa-mir-4662a-5p	23
hsa-mir-30a-3p	23
hsa-mir-140-5p	22
hsa-mir-3662	22
hsa-mir-378a-5p	22
hsa-mir-3651	22
hsa-let-7i-3p	22
hsa-mir-760	22
hsa-mir-342-5p	22
hsa-mir-616-5p	22
hsa-mir-2115-5p	22
hsa-mir-335-3p	22
hsa-mir-195-5p	22
hsa-mir-548p	22
hsa-mir-4502	22
hsa-mir-10396b-3p	22
hsa-mir-7976	21
hsa-mir-424-5p	21
hsa-mir-10b-3p	21
hsa-mir-579-5p	21
hsa-mir-23b-5p	21
hsa-mir-3177-3p	21
hsa-mir-619-5p	21
hsa-mir-92b-5p	20
hsa-mir-1257	20
hsa-mir-200c-3p	20
hsa-mir-9901	20
hsa-mir-651-5p	20
hsa-mir-148a-5p	20
hsa-mir-1286	20
hsa-mir-16-1-3p	20
hsa-mir-4709-3p	20
hsa-mir-6084	19
hsa-mir-548d-5p	19
hsa-mir-3181	19
hsa-mir-4787-3p	19
hsa-mir-101-5p	19
hsa-mir-3065-5p	19
hsa-mir-335-5p	19
hsa-mir-600	18
hsa-mir-1295a	18
hsa-mir-1272	18
hsa-mir-4522	18
hsa-mir-629-3p	18
hsa-mir-3691-5p	18
hsa-mir-200b-5p	18
hsa-mir-3909	18
hsa-mir-548au-5p	18
hsa-mir-659-5p	17
hsa-mir-556-3p	17
hsa-mir-7851-3p	17
hsa-mir-4326	17
hsa-mir-17-3p	17
hsa-mir-135b-3p	17
hsa-mir-3187-3p	16
hsa-mir-340-3p	16
hsa-mir-548b-5p	16
hsa-let-7a-3p	16
hsa-mir-502-3p	16
hsa-mir-3960	16
hsa-mir-548w	16
hsa-mir-193a-3p	16
hsa-mir-24-1-5p	16
hsa-mir-143-3p	16
hsa-mir-452-5p	16
hsa-mir-3664-3p	16
hsa-mir-33a-3p	16
hsa-mir-4664-3p	16
hsa-mir-548h-3p	15
hsa-mir-3173-5p	15
hsa-mir-663a	15
hsa-mir-4707-5p	15
hsa-mir-3928-5p	15
hsa-mir-145-5p	15
hsa-mir-5001-5p	15
hsa-mir-26a-2-3p	15
hsa-mir-574-5p	15
hsa-mir-548ah-3p	15
hsa-mir-6789-5p	15
hsa-let-7c-5p	15
hsa-mir-153-5p	15
hsa-mir-3180-5p	14
hsa-mir-4435	14
hsa-mir-4424	14
hsa-mir-3130-5p	14
