	Count
hsa-mir-4482-3p	15
hsa-mir-9985	15
hsa-mir-3135b	15
hsa-mir-30a-3p	15
hsa-mir-5010-3p	15
hsa-mir-3944-3p	15
hsa-mir-942-3p	15
hsa-mir-502-5p	15
hsa-mir-205-5p	15
hsa-mir-7705	14
hsa-mir-5696	14
hsa-mir-4479	14
hsa-mir-1294	14
hsa-mir-2355-3p	14
hsa-mir-3942-3p	14
hsa-mir-4429	14
hsa-mir-6511b-3p	14
hsa-mir-1180-5p	14
hsa-mir-664a-3p	14
hsa-mir-3130-3p	14
hsa-mir-146a-5p	13
hsa-mir-4424	13
hsa-mir-1256	13
hsa-mir-1268b	13
hsa-mir-365a-5p	13
hsa-mir-766-3p	13
hsa-mir-548z	13
hsa-mir-4472	13
hsa-mir-4671-5p	13
hsa-mir-4467	13
hsa-mir-195-3p	13
hsa-mir-4785	13
hsa-mir-365b-5p	13
hsa-mir-4662a-5p	13
hsa-mir-487b-3p	13
hsa-let-7c-5p	13
hsa-mir-6747-3p	13
hsa-mir-3180-3p	13
hsa-mir-6770-3p	13
hsa-mir-2113	13
hsa-mir-4463	13
hsa-mir-346	12
hsa-mir-4659a-3p	12
hsa-mir-539-3p	12
hsa-mir-548g-5p	12
hsa-mir-548j-5p	12
hsa-mir-301b-5p	12
hsa-mir-3922-3p	12
hsa-mir-3163	12
hsa-mir-3158-5p	12
hsa-mir-6784-3p	12
hsa-mir-4738-3p	12
hsa-mir-4504	12
hsa-mir-629-3p	12
hsa-mir-96-3p	12
hsa-mir-1296-3p	12
hsa-mir-624-3p	11
hsa-mir-548ag	11
hsa-mir-3179	11
hsa-mir-26a-1-3p	11
hsa-mir-4645-3p	11
hsa-mir-4753-5p	11
hsa-mir-422a	11
hsa-mir-1976	11
hsa-mir-3120-3p	11
hsa-mir-1306-5p	11
hsa-mir-548w	11
hsa-mir-452-3p	11
hsa-mir-767-5p	11
hsa-mir-3157-5p	11
hsa-mir-766-5p	11
hsa-mir-6862-5p	11
hsa-mir-4660	11
hsa-mir-190b-5p	11
hsa-mir-4654	11
hsa-mir-5092	10
hsa-mir-4512	10
hsa-mir-4473	10
hsa-mir-610	10
hsa-mir-4748	10
hsa-mir-491-5p	10
hsa-mir-1229-3p	10
hsa-mir-4508	10
hsa-mir-3190-3p	10
hsa-mir-556-3p	10
hsa-mir-3688-3p	10
hsa-mir-503-5p	10
hsa-mir-6812-3p	10
hsa-mir-4677-5p	10
hsa-mir-29b-2-5p	10
hsa-mir-3620-3p	10
hsa-mir-296-3p	10
hsa-mir-6820-5p	10
hsa-mir-1910-3p	10
hsa-mir-6742-3p	10
hsa-mir-219a-5p	10
hsa-mir-3175	10
hsa-mir-4742-3p	10
hsa-mir-597-3p	10
hsa-mir-190a-5p	10
hsa-mir-187-3p	10
hsa-mir-219b-5p	10
hsa-mir-6873-3p	9
hsa-mir-12135	9
hsa-mir-3611	9
hsa-mir-3164	9
hsa-mir-3135a	9
hsa-mir-6816-3p	9
hsa-mir-548an	9
hsa-mir-3663-3p	9
hsa-mir-193a-3p	9
hsa-mir-2278	9
hsa-mir-378f	9
hsa-mir-548b-3p	9
hsa-mir-320a-5p	9
hsa-mir-1260a	9
hsa-mir-101-5p	9
hsa-mir-215-5p	9
hsa-mir-590-5p	9
hsa-mir-9986	9
hsa-mir-5683	9
hsa-mir-6851-5p	9
hsa-mir-3691-3p	9
hsa-mir-138-5p	9
hsa-mir-4771	9
hsa-mir-676-3p	9
hsa-mir-3911	9
hsa-mir-3181	9
hsa-mir-6805-5p	8
hsa-mir-3619-5p	8
hsa-mir-99a-5p	8
hsa-mir-6783-3p	8
hsa-mir-6836-5p	8
hsa-mir-5581-3p	8
hsa-mir-4767	8
hsa-mir-548au-5p	8
hsa-mir-584-3p	8
hsa-mir-8072	8
hsa-mir-4796-5p	8
hsa-mir-3679-5p	8
hsa-mir-664a-5p	8
hsa-mir-4769-5p	8
hsa-mir-6866-5p	8
hsa-mir-3620-5p	8
hsa-mir-4758-3p	8
hsa-mir-5582-3p	8
hsa-mir-3136-5p	8
hsa-mir-5091	8
hsa-mir-4687-3p	8
hsa-mir-184	8
hsa-mir-3145-5p	8
hsa-mir-3661	8
hsa-mir-29c-5p	8
hsa-mir-548a-3p	8
hsa-mir-6510-3p	8
hsa-mir-4682	8
hsa-mir-550a-3-5p	7
hsa-mir-3622a-5p	7
hsa-mir-4672	7
hsa-mir-588	7
hsa-mir-5580-3p	7
hsa-mir-5000-3p	7
hsa-mir-3133	7
hsa-mir-1302	7
hsa-mir-3132	7
hsa-mir-4688	7
hsa-mir-1185-1-3p	7
hsa-mir-4440	7
hsa-mir-6895-3p	7
hsa-mir-5008-3p	7
hsa-mir-3940-5p	7
hsa-mir-939-3p	7
hsa-mir-6811-5p	7
hsa-mir-4768-5p	7
hsa-mir-486-3p	7
hsa-mir-6735-5p	7
hsa-mir-548ai	7
hsa-mir-3177-5p	7
hsa-mir-127-3p	7
hsa-mir-3651	7
hsa-mir-3074-3p	7
hsa-mir-548j-3p	7
hsa-mir-548ac	7
hsa-mir-371a-5p	6
hsa-mir-3173-3p	6
hsa-mir-7703	6
hsa-mir-4488	6
hsa-mir-4706	6
hsa-mir-7977	6
hsa-mir-3064-5p	6
hsa-mir-6868-3p	6
hsa-mir-578	6
hsa-mir-548aa	6
hsa-mir-543	6
hsa-mir-5695	6
hsa-mir-3139	6
hsa-mir-2116-5p	6
hsa-mir-3129-5p	6
hsa-mir-6789-5p	6
hsa-mir-134-5p	6
hsa-mir-548aq-5p	6
hsa-mir-2467-3p	6
hsa-mir-152-5p	6
hsa-mir-1255b-5p	6
hsa-mir-378e	6
hsa-mir-6824-3p	6
hsa-mir-6787-3p	6
hsa-mir-345-3p	6
hsa-mir-9898	6
hsa-mir-548ap-5p	6
hsa-mir-548p	6
hsa-mir-4689	6
hsa-mir-6800-3p	6
hsa-mir-3916	6
hsa-mir-1908-5p	6
hsa-mir-3617-5p	5
hsa-mir-6844	5
hsa-mir-6780a-5p	5
hsa-mir-3667-5p	5
hsa-mir-487a-3p	5
hsa-mir-4755-3p	5
hsa-mir-3128	5
hsa-mir-4489	5
hsa-mir-6758-3p	5
hsa-mir-5009-5p	5
hsa-mir-646	5
hsa-mir-4731-3p	5
hsa-mir-6773-5p	5
hsa-mir-1258	5
hsa-mir-1234-3p	5
hsa-mir-4449	5
hsa-mir-4492	5
hsa-mir-1343-3p	5
hsa-mir-499a-5p	5
hsa-mir-1233-3p	5
hsa-mir-1185-2-3p	5
hsa-mir-4781-3p	5
hsa-mir-602	5
hsa-mir-6865-5p	5
hsa-mir-3913-5p	5
hsa-mir-139-3p	5
hsa-mir-6794-3p	5
hsa-mir-329-3p	5
hsa-mir-10526-3p	5
hsa-mir-3936	5
hsa-mir-548c-3p	5
hsa-mir-5680	5
hsa-mir-2276-3p	5
hsa-mir-7111-3p	5
hsa-mir-3652	5
hsa-mir-6837-3p	5
hsa-mir-196b-3p	5
hsa-mir-95-5p	5
hsa-mir-4691-3p	5
hsa-mir-6889-3p	5
hsa-mir-675-5p	5
hsa-mir-3188	5
hsa-mir-937-5p	5
hsa-mir-3196	5
hsa-mir-24-1-5p	4
hsa-mir-1224-3p	4
hsa-mir-6786-3p	4
hsa-mir-7114-3p	4
hsa-mir-944	4
hsa-mir-30c-2-3p	4
hsa-mir-10b-3p	4
hsa-mir-5697	4
hsa-mir-1343-5p	4
hsa-mir-323b-3p	4
hsa-mir-500b-3p	4
hsa-mir-6803-3p	4
hsa-mir-1915-5p	4
hsa-mir-4507	4
hsa-mir-874-3p	4
hsa-mir-5690	4
hsa-mir-6805-3p	4
hsa-mir-4685-3p	4
hsa-mir-4665-5p	4
hsa-mir-376c-3p	4
hsa-mir-758-3p	4
hsa-mir-6732-3p	4
hsa-mir-10395-3p	4
hsa-mir-642b-3p	4
hsa-mir-5702	4
hsa-mir-663b	4
hsa-mir-3908	4
hsa-mir-662	4
hsa-mir-548al	4
hsa-mir-4431	4
hsa-mir-5706	4
hsa-mir-570-3p	4
hsa-mir-4690-5p	4
hsa-mir-23b-5p	4
hsa-mir-559	4
hsa-mir-6858-5p	4
hsa-mir-6857-3p	4
hsa-mir-6073	4
hsa-mir-3940-3p	4
hsa-mir-4722-5p	4
hsa-mir-3182	4
hsa-mir-376b-3p	4
hsa-mir-586	4
hsa-mir-4653-3p	4
hsa-mir-4766-3p	4
hsa-mir-3162-5p	4
hsa-mir-6721-5p	4
hsa-mir-4635	4
hsa-mir-3160-3p	4
hsa-mir-6768-5p	4
hsa-mir-6767-5p	4
hsa-mir-204-5p	4
hsa-mir-19b-1-5p	4
hsa-mir-23a-5p	4
hsa-mir-4497	4
hsa-mir-323a-3p	4
hsa-mir-150-5p	4
hsa-mir-6735-3p	4
hsa-mir-548ao-3p	4
hsa-mir-4281	4
hsa-mir-449b-3p	4
hsa-mir-6881-5p	4
hsa-mir-18b-5p	4
hsa-mir-4642	4
hsa-mir-6894-5p	4
hsa-mir-16-1-3p	3
hsa-mir-6799-3p	3
hsa-mir-6884-5p	3
hsa-mir-654-5p	3
hsa-mir-4804-3p	3
hsa-mir-6799-5p	3
hsa-mir-194-3p	3
hsa-mir-511-5p	3
hsa-mir-369-3p	3
hsa-mir-6737-3p	3
hsa-mir-1252-3p	3
hsa-mir-4802-3p	3
hsa-mir-449c-3p	3
hsa-mir-6882-5p	3
hsa-mir-1227-3p	3
hsa-mir-6781-5p	3
hsa-mir-10525-3p	3
hsa-mir-6869-5p	3
hsa-mir-3122	3
hsa-mir-4726-5p	3
hsa-mir-3183	3
hsa-mir-4520-3p	3
hsa-mir-6505-5p	3
hsa-mir-101-2-5p	3
hsa-mir-3145-3p	3
hsa-mir-762	3
hsa-mir-7845-5p	3
hsa-mir-548a-5p	3
hsa-mir-548y	3
hsa-mir-1181	3
hsa-mir-4474-3p	3
hsa-mir-549a-3p	3
hsa-mir-181b-2-3p	3
hsa-mir-299-3p	3
hsa-mir-4423-3p	3
hsa-mir-6729-5p	3
hsa-mir-6840-3p	3
hsa-mir-6848-5p	3
hsa-mir-574-5p	3
hsa-mir-891a-5p	3
hsa-mir-6770-5p	3
hsa-mir-6855-3p	3
hsa-mir-376a-3p	3
hsa-mir-580-5p	3
hsa-mir-4768-3p	3
hsa-mir-1273h-3p	3
hsa-mir-320e	3
hsa-mir-3610	3
hsa-mir-377-3p	3
hsa-mir-1292-3p	3
hsa-mir-4707-5p	3
hsa-mir-6515-5p	3
hsa-mir-3663-5p	3
hsa-mir-1914-3p	3
hsa-mir-1179	3
hsa-mir-6875-5p	3
hsa-mir-103a-2-5p	3
hsa-mir-373-3p	3
hsa-mir-6807-5p	3
hsa-mir-9899	3
hsa-mir-10392-5p	3
hsa-mir-4783-3p	3
hsa-mir-4999-5p	3
hsa-mir-7113-3p	3
hsa-mir-10396b-5p	3
hsa-mir-3170	3
hsa-mir-6829-5p	3
hsa-mir-548x-5p	3
hsa-mir-5580-5p	3
hsa-mir-144-5p	3
hsa-mir-6819-3p	3
hsa-mir-548am-3p	3
hsa-mir-450a-2-3p	3
hsa-mir-5089-3p	3
hsa-mir-6516-3p	3
hsa-mir-6715b-3p	3
