SRR3174967_trimmed_size.fasta,Count
hsa-mir-452-5p,3
hsa-mir-9902-1-3p,3
hsa-mir-92a-1-5p,3
hsa-mir-4791-5p,3
hsa-mir-1285-1-3p,3
hsa-mir-125a-3p,3
hsa-mir-6732-3p,3
hsa-mir-3064-5p,3
hsa-mir-96-3p,3
hsa-mir-636-5p,3
hsa-mir-4741-3p,3
hsa-mir-4722-5p,3
hsa-let-7d-3p,3
hsa-mir-3660-3p,3
hsa-mir-6755-5p,3
hsa-mir-3655-5p,3
hsa-mir-1268a-3p,3
hsa-mir-941-1-3p,3
hsa-mir-6084-3p,3
hsa-mir-369-5p,3
hsa-mir-3166-3p,3
hsa-mir-1287-5p,3
hsa-mir-4430-3p,3
hsa-mir-340-3p,3
hsa-mir-3907-5p,3
hsa-mir-877-5p,3
hsa-mir-941-4-3p,3
hsa-mir-6789-5p,3
hsa-mir-6808-3p,3
hsa-mir-197-3p,3
hsa-mir-4443-5p,3
hsa-mir-941-3-3p,3
hsa-let-7g-3p,3
hsa-mir-548v-5p,3
hsa-mir-3188-3p,3
hsa-mir-421-5p,3
hsa-mir-10395-3p,3
hsa-mir-548u-5p,3
hsa-mir-33b-3p,3
hsa-mir-4793-5p,3
hsa-mir-210-3p,3
hsa-mir-941-5-3p,3
hsa-mir-941-2-3p,3
hsa-mir-4742-5p,3
hsa-mir-574-5p,3
hsa-mir-4658-3p,3
hsa-mir-936-5p,2
hsa-mir-3166-5p,2
hsa-mir-1237-5p,2
hsa-mir-326-3p,2
hsa-mir-5684-3p,2
hsa-mir-7703-3p,2
hsa-mir-3908-3p,2
hsa-mir-12126-5p,2
hsa-mir-195-5p,2
hsa-mir-411-5p,2
hsa-mir-1915-3p,2
hsa-mir-548k-5p,2
hsa-mir-4466-5p,2
hsa-mir-421-3p,2
hsa-mir-2114-5p,2
hsa-mir-4651-5p,2
hsa-mir-551b-3p,2
hsa-mir-17-3p,2
hsa-mir-6789-3p,2
hsa-mir-5100-5p,2
hsa-mir-3672-5p,2
hsa-mir-1231-3p,2
hsa-mir-601-5p,2
hsa-mir-4267-3p,2
hsa-mir-19b-2-3p,2
hsa-mir-3928-3p,2
hsa-mir-5680-5p,2
hsa-mir-23b-3p,2
hsa-mir-1343-5p,2
hsa-mir-10524-5p,2
hsa-mir-34a-3p,2
hsa-mir-7706-5p,2
hsa-mir-1304-3p,2
hsa-mir-1304-5p,2
hsa-mir-200a-3p,2
hsa-mir-641-5p,2
hsa-mir-3190-3p,2
hsa-mir-874-3p,2
hsa-mir-579-5p,2
hsa-mir-1303-3p,2
hsa-mir-499b-5p,2
hsa-mir-3929-5p,2
hsa-mir-11399-5p,2
hsa-mir-675-5p,2
hsa-mir-203b-3p,2
hsa-mir-7845-3p,2
hsa-mir-6077-5p,2
hsa-mir-6825-3p,2
hsa-mir-3124-5p,2
hsa-mir-483-3p,2
hsa-mir-4516-5p,2
hsa-mir-876-5p,2
hsa-mir-5100-3p,2
hsa-mir-5088-5p,2
hsa-mir-6856-3p,2
hsa-mir-301a-5p,2
hsa-mir-1266-5p,2
hsa-mir-6083-5p,2
hsa-mir-7855-5p,2
hsa-mir-1285-2-5p,2
hsa-mir-3652-3p,2
hsa-mir-5196-3p,2
hsa-mir-30a-5p,2
hsa-mir-12131-5p,2
hsa-mir-141-3p,2
hsa-mir-613-5p,2
hsa-mir-940-5p,2
hsa-mir-4426-5p,2
hsa-mir-449a-5p,2
hsa-mir-4523-5p,2
hsa-mir-7845-5p,2
hsa-mir-12121-5p,2
hsa-mir-3613-3p,2
hsa-mir-8053-3p,2
hsa-mir-12120-5p,2
hsa-mir-625-3p,2
hsa-mir-585-5p,2
hsa-mir-527-5p,2
hsa-mir-597-3p,2
hsa-mir-1306-3p,2
hsa-mir-129-2-3p,2
hsa-mir-5195-5p,2
hsa-mir-6814-3p,2
hsa-mir-196a-2-3p,2
hsa-mir-3610-3p,2
hsa-mir-574-3p,2
hsa-mir-200c-3p,2
hsa-mir-4709-5p,2
hsa-mir-7111-5p,2
hsa-mir-1289-1-3p,2
hsa-mir-330-3p,2
hsa-mir-449c-5p,2
hsa-mir-615-5p,2
hsa-mir-1915-5p,2
hsa-mir-1324-5p,2
hsa-mir-1843-3p,2
hsa-mir-552-3p,2
hsa-mir-5191-5p,2
hsa-mir-4420-3p,2
hsa-mir-3615-5p,2
hsa-mir-153-1-5p,2
hsa-mir-4318-5p,2
hsa-mir-4663-5p,2
hsa-mir-1910-5p,2
hsa-mir-4302-5p,2
hsa-mir-3938-3p,2
hsa-mir-320a-5p,2
hsa-mir-342-3p,2
hsa-mir-138-2-5p,2
hsa-mir-4328-5p,2
hsa-mir-101-2-5p,2
hsa-mir-4311-5p,2
hsa-mir-5000-5p,2
hsa-mir-331-3p,2
hsa-mir-10400-5p,1
hsa-mir-548o-2-5p,1
hsa-mir-548c-5p,1
hsa-mir-4258-5p,1
hsa-mir-1199-5p,1
hsa-mir-320b-2-3p,1
hsa-mir-320b-1-3p,1
hsa-mir-7108-5p,1
hsa-mir-3182-5p,1
hsa-mir-4444-2-5p,1
hsa-mir-4444-1-5p,1
hsa-mir-3178-5p,1
hsa-mir-2053-5p,1
hsa-mir-4256-5p,1
hsa-mir-4659b-5p,1
hsa-mir-6794-5p,1
hsa-mir-212-5p,1
hsa-mir-5196-5p,1
