SRR19795711_trimmed2.fasta,Count
mmu-mir-1938-5p,9
mmu-mir-3102-3p,9
mmu-mir-6481-5p,9
mmu-mir-700-5p,9
mmu-mir-147-5p,9
mmu-mir-6236-3p,8
mmu-mir-706-5p,8
mmu-mir-6540-5p,8
mmu-mir-299b-3p,8
mmu-let-7b-3p,8
mmu-mir-6353-5p,8
mmu-mir-6988-3p,8
mmu-mir-6410-5p,8
mmu-mir-25-5p,8
mmu-mir-295-3p,8
mmu-mir-540-3p,8
mmu-mir-1964-3p,8
mmu-mir-181a-2-3p,8
mmu-mir-7a-2-3p,8
mmu-mir-142b-3p,8
mmu-mir-219a-2-3p,8
mmu-mir-139-3p,8
mmu-mir-99a-3p,8
mmu-mir-221-5p,8
mmu-mir-7214-3p,8
mmu-mir-582-5p,8
mmu-mir-466c-1-5p,7
mmu-mir-466c-3-5p,7
mmu-mir-466c-2-5p,7
mmu-mir-5131-5p,7
mmu-mir-6348-5p,7
mmu-mir-466f-1-3p,7
mmu-mir-3970-5p,7
mmu-mir-92a-1-5p,7
mmu-mir-182-3p,7
mmu-mir-6385-3p,7
mmu-mir-1291-5p,7
mmu-mir-146b-3p,7
mmu-mir-5107-5p,7
mmu-mir-376b-3p,7
mmu-mir-380-5p,7
mmu-mir-1982-3p,7
mmu-mir-496a-3p,7
mmu-mir-363-3p,7
mmu-mir-742-5p,7
mmu-mir-1983-5p,7
mmu-let-7g-3p,7
mmu-mir-664-3p,7
mmu-mir-3960-3p,7
mmu-mir-8109-5p,7
mmu-mir-449a-3p,7
mmu-mir-3077-5p,7
mmu-mir-92b-5p,7
mmu-mir-6416-5p,6
mmu-mir-18b-5p,6
mmu-mir-1b-5p,6
mmu-let-7c-2-3p,6
mmu-let-7a-1-3p,6
mmu-mir-344i-5p,6
mmu-mir-8102-5p,6
mmu-mir-669f-3p,6
mmu-mir-212-3p,6
mmu-mir-23b-5p,6
mmu-mir-8092-5p,6
mmu-mir-874-3p,6
mmu-mir-7043-3p,6
mmu-mir-2137-3p,6
mmu-mir-670-3p,6
mmu-mir-299a-5p,6
mmu-mir-1892-3p,6
mmu-mir-6378-3p,6
mmu-mir-8114-3p,6
mmu-mir-291a-3p,6
mmu-mir-497b-3p,6
mmu-mir-1306-5p,6
mmu-mir-351-3p,6
mmu-mir-12188-5p,6
mmu-mir-292a-5p,6
mmu-mir-125a-3p,6
mmu-mir-190b-5p,6
mmu-mir-7068-3p,6
mmu-mir-664-5p,6
mmu-mir-8107-5p,6
mmu-mir-6952-3p,6
mmu-mir-546-5p,6
mmu-mir-1843a-3p,6
mmu-mir-3475-3p,6
mmu-mir-7028-5p,6
mmu-mir-3473e-5p,5
mmu-mir-669m-1-5p,5
mmu-mir-669m-2-5p,5
mmu-mir-466d-3p,5
mmu-mir-669b-5p,5
mmu-mir-5620-5p,5
mmu-mir-363-5p,5
mmu-mir-12191-3p,5
mmu-mir-5622-3p,5
mmu-mir-6984-5p,5
mmu-mir-6903-3p,5
mmu-mir-935-5p,5
mmu-mir-6971-5p,5
mmu-mir-297b-5p,5
mmu-mir-294-3p,5
mmu-mir-669a-3-5p,5
mmu-mir-669a-2-5p,5
mmu-mir-669a-1-5p,5
mmu-mir-149-3p,5
mmu-mir-7020-5p,5
mmu-mir-380-3p,5
mmu-mir-154-5p,5
mmu-mir-6362-5p,5
mmu-mir-3062-5p,5
mmu-mir-667-3p,5
