	SRR3174965_trimmed_size.fasta
hsa-mir-3614-5p	41
hsa-mir-548ah-3p	41
hsa-mir-3648-1-3p	40
hsa-mir-3960-3p	40
hsa-mir-548u-3p	39
hsa-mir-1287-5p	38
hsa-mir-1266-5p	38
hsa-mir-5684-3p	38
hsa-mir-12121-3p	37
hsa-mir-760-3p	37
hsa-mir-642a-5p	37
hsa-mir-501-3p	36
hsa-mir-196b-3p	36
hsa-mir-320a-5p	36
hsa-mir-548e-5p	36
hsa-mir-1843-5p	35
hsa-mir-93-3p	35
hsa-mir-191-3p	35
hsa-mir-147b-3p	34
hsa-mir-940-3p	34
hsa-mir-3929-5p	33
hsa-mir-203b-3p	33
hsa-mir-7-1-5p	33
hsa-mir-10396b-3p	33
hsa-mir-10401-3p	33
hsa-mir-4429-5p	33
hsa-mir-636-3p	32
hsa-mir-181d-5p	32
hsa-mir-7851-5p	31
hsa-mir-107-3p	31
hsa-mir-573-5p	31
hsa-mir-3929-3p	31
hsa-mir-643-3p	31
hsa-mir-3648-1-5p	31
hsa-mir-4738-3p	30
hsa-mir-3188-3p	30
hsa-mir-548t-3p	29
hsa-mir-4709-5p	29
hsa-mir-30d-3p	29
hsa-mir-589-3p	29
hsa-mir-660-5p	28
hsa-mir-324-5p	28
hsa-mir-125a-3p	28
hsa-mir-200a-5p	28
hsa-let-7i-3p	28
hsa-mir-1910-5p	27
hsa-mir-196a-1-5p	27
hsa-mir-624-5p	27
hsa-mir-548h-3-5p	26
hsa-mir-551a-3p	26
hsa-mir-3196-5p	26
hsa-mir-4707-3p	25
hsa-mir-196a-1-3p	25
hsa-mir-449c-5p	25
hsa-mir-4671-3p	25
hsa-mir-548b-5p	24
hsa-mir-1255a-3p	24
hsa-mir-3177-3p	24
hsa-mir-1276-5p	24
hsa-mir-548f-3-3p	24
hsa-mir-4466-5p	24
hsa-mir-1468-5p	24
hsa-mir-4746-5p	24
hsa-mir-3917-3p	24
hsa-mir-483-3p	24
hsa-mir-615-5p	23
hsa-mir-4662a-5p	23
hsa-mir-210-5p	23
hsa-mir-10b-3p	23
hsa-mir-335-3p	23
hsa-mir-616-5p	23
hsa-mir-342-5p	22
hsa-mir-4787-3p	22
hsa-mir-378d-2-5p	22
hsa-mir-1286-3p	22
hsa-mir-548f-1-3p	22
hsa-mir-378a-5p	22
hsa-mir-3651-3p	22
hsa-mir-1278-3p	22
hsa-mir-7976-5p	22
hsa-mir-195-5p	22
hsa-mir-16-1-3p	22
hsa-mir-424-5p	22
hsa-mir-326-5p	22
hsa-mir-4488-5p	21
hsa-mir-1304-5p	21
hsa-mir-548z-3p	21
hsa-mir-579-5p	21
hsa-mir-1268a-3p	21
hsa-let-7a-3-3p	21
hsa-mir-143-3p	21
hsa-mir-10395-3p	21
hsa-mir-629-3p	21
hsa-mir-7-3-5p	20
hsa-mir-101-1-5p	20
hsa-mir-4709-3p	20
hsa-mir-651-5p	20
hsa-mir-3182-5p	20
hsa-mir-199a-2-3p	20
hsa-mir-9901-5p	20
hsa-mir-140-5p	20
hsa-mir-200c-3p	20
hsa-mir-148a-5p	20
hsa-mir-92b-5p	20
hsa-mir-16-1-5p	20
hsa-mir-23b-5p	20
hsa-mir-4664-3p	19
hsa-mir-101-2-3p	19
hsa-mir-3135b-3p	19
hsa-mir-3662-3p	19
hsa-mir-3065-5p	19
hsa-mir-548w-5p	19
hsa-mir-335-5p	19
hsa-mir-3187-3p	19
hsa-mir-135b-3p	19
hsa-mir-3691-5p	19
hsa-mir-4522-3p	18
hsa-mir-200b-5p	18
hsa-mir-556-3p	18
hsa-mir-3909-3p	18
hsa-mir-4492-3p	18
hsa-mir-1273h-5p	18
hsa-mir-9985-5p	17
hsa-mir-659-5p	17
hsa-mir-548ay-5p	17
hsa-mir-1295a-3p	17
