SRR3174965_trimmed_size.fasta,Count
hsa-mir-1246-5p,31
hsa-mir-203b-3p,31
hsa-mir-181d-5p,30
hsa-mir-643-3p,30
hsa-mir-10401-3p,29
hsa-mir-99a-5p,29
hsa-mir-9-3-5p,28
hsa-mir-9-1-5p,28
hsa-mir-9-2-5p,28
hsa-mir-10396b-3p,28
hsa-mir-660-5p,28
hsa-mir-200a-5p,28
hsa-mir-636-3p,28
hsa-mir-324-5p,28
hsa-mir-30d-3p,27
hsa-mir-940-3p,27
hsa-mir-125a-3p,27
hsa-mir-4709-5p,27
hsa-mir-589-3p,27
hsa-mir-1910-5p,27
hsa-mir-624-5p,27
hsa-mir-12136-3p,27
hsa-mir-449c-5p,26
hsa-mir-3188-3p,25
hsa-mir-4671-3p,25
hsa-mir-4746-5p,24
hsa-mir-210-5p,24
hsa-mir-1468-5p,24
hsa-mir-196a-1-3p,24
hsa-mir-1276-5p,24
hsa-mir-4707-3p,24
hsa-mir-483-3p,24
hsa-mir-1255a-3p,24
hsa-mir-4738-3p,24
hsa-mir-3917-3p,24
hsa-mir-551a-3p,24
hsa-mir-615-5p,24
hsa-mir-30a-3p,23
hsa-mir-1304-5p,23
hsa-mir-4662a-5p,23
hsa-mir-4502-3p,22
hsa-mir-548p-3p,22
hsa-mir-326-5p,22
hsa-mir-335-3p,22
hsa-mir-3651-3p,22
hsa-mir-760-3p,22
hsa-mir-616-5p,22
hsa-mir-378a-5p,22
hsa-mir-342-5p,22
hsa-mir-195-5p,22
hsa-let-7i-3p,22
hsa-mir-2115-5p,22
hsa-mir-1278-3p,22
hsa-mir-579-5p,21
hsa-mir-424-5p,21
hsa-mir-619-5p,21
hsa-mir-140-5p,21
hsa-mir-10b-3p,21
hsa-mir-3159-3p,21
hsa-mir-3177-3p,21
hsa-mir-548f-1-3p,20
hsa-mir-148a-5p,20
hsa-mir-200c-3p,20
hsa-mir-3648-1-3p,20
hsa-mir-16-1-3p,20
hsa-mir-651-5p,20
hsa-mir-7976-5p,20
hsa-mir-1286-3p,20
hsa-mir-4709-3p,20
hsa-mir-23b-5p,20
hsa-mir-3648-2-3p,20
hsa-mir-3960-3p,19
hsa-mir-3648-2-5p,19
hsa-mir-4787-3p,19
hsa-mir-101-1-5p,19
hsa-mir-3065-5p,19
hsa-mir-1257-5p,19
hsa-mir-3662-3p,19
hsa-mir-335-5p,19
hsa-mir-4522-3p,18
hsa-mir-200b-5p,18
hsa-mir-629-3p,18
hsa-mir-3691-5p,18
hsa-mir-3181-5p,18
hsa-mir-3648-1-5p,17
hsa-mir-1295a-3p,17
hsa-mir-3909-3p,17
hsa-mir-135b-3p,17
hsa-mir-659-5p,17
hsa-mir-548w-5p,17
hsa-mir-556-3p,17
hsa-mir-9901-5p,17
hsa-mir-17-3p,17
hsa-mir-548b-5p,16
hsa-mir-1272-5p,16
hsa-mir-502-3p,16
hsa-mir-24-1-5p,16
hsa-mir-3664-3p,16
hsa-mir-3187-3p,16
hsa-mir-340-3p,16
hsa-mir-4664-3p,16
hsa-mir-4707-5p,16
hsa-mir-6084-5p,16
hsa-mir-33a-3p,16
hsa-mir-193a-3p,16
hsa-mir-452-5p,16
hsa-mir-143-3p,16
hsa-mir-548ah-3p,15
hsa-mir-3173-5p,15
hsa-mir-6789-5p,15
hsa-mir-4326-5p,15
hsa-mir-145-5p,15
hsa-mir-574-5p,15
hsa-mir-26a-2-3p,15
hsa-mir-3928-5p,15
hsa-mir-4449-3p,14
hsa-mir-92b-5p,14
hsa-mir-3157-5p,14
hsa-mir-1294-5p,14
hsa-mir-9986-5p,14
hsa-mir-7851-5p,14
hsa-mir-5001-5p,14
hsa-mir-3663-3p,14
hsa-mir-6724-4-5p,13
hsa-mir-6724-2-5p,13
hsa-mir-6724-1-5p,13
hsa-mir-4449-5p,13
hsa-mir-642a-3p,13
hsa-mir-548au-5p,13
hsa-mir-411-5p,13
hsa-mir-3065-3p,13
hsa-mir-181a-2-3p,13
hsa-mir-1247-5p,13
hsa-mir-455-5p,13
hsa-mir-1291-5p,13
hsa-mir-4511-5p,13
hsa-mir-483-5p,13
hsa-mir-6724-3-5p,13
hsa-mir-152-3p,13
hsa-mir-548d-1-5p,12
hsa-mir-486-2-5p,12
hsa-mir-1248-5p,12
hsa-mir-30c-1-3p,12
hsa-mir-4521-3p,12
hsa-mir-4661-3p,12
hsa-mir-4652-5p,12
hsa-mir-183-3p,12
hsa-mir-3942-5p,12
hsa-mir-10392-5p,12
hsa-mir-29a-5p,12
hsa-mir-19a-5p,12
hsa-mir-578-5p,11
hsa-mir-185-5p,11
hsa-mir-181c-3p,11
hsa-mir-550a-3-5p,11
hsa-mir-4647-5p,11
hsa-mir-551a-5p,11
hsa-mir-450b-5p,11
hsa-mir-548ar-3p,11
hsa-mir-937-3p,11
hsa-mir-10396b-5p,11
hsa-mir-5699-5p,11
hsa-mir-5699-3p,11
hsa-mir-1261-5p,11
hsa-mir-4515-5p,11
hsa-mir-4767-5p,11
hsa-mir-33a-5p,10
hsa-mir-10396a-5p,10
hsa-mir-132-5p,10
hsa-mir-6850-5p,10
hsa-mir-219a-1-5p,10
hsa-mir-153-2-5p,10
hsa-mir-182-3p,10
hsa-mir-548v-3p,10
hsa-mir-3622a-3p,10
hsa-mir-6850-3p,10
hsa-mir-6501-5p,10
hsa-mir-181b-1-3p,10
hsa-mir-5582-3p,10
hsa-mir-4492-5p,10
hsa-mir-3684-3p,10
hsa-mir-548c-5p,9
hsa-mir-548f-2-3p,9
hsa-mir-548f-3-3p,9
hsa-mir-1303-5p,9
hsa-mir-8072-5p,9
hsa-mir-1252-5p,9
hsa-mir-6886-5p,9
hsa-mir-4424-3p,9
hsa-mir-628-5p,9
hsa-mir-320b-1-5p,9
hsa-mir-548z-3p,9
hsa-mir-3613-3p,9
hsa-mir-362-3p,9
hsa-mir-2355-3p,9
hsa-let-7a-1-3p,9
hsa-mir-600-5p,9
hsa-mir-3157-3p,9
hsa-mir-3659-3p,9
hsa-mir-654-3p,9
hsa-mir-7705-3p,9
hsa-mir-5093-3p,9
hsa-mir-196a-2-3p,9
hsa-mir-664a-3p,9
hsa-mir-600-3p,9
hsa-mir-548h-4-3p,9
hsa-mir-610-5p,9
hsa-mir-548am-5p,8
hsa-mir-548o-2-5p,8
hsa-mir-663a-3p,8
hsa-mir-935-3p,8
hsa-mir-548ac-5p,8
hsa-mir-933-3p,8
hsa-mir-425-3p,8
hsa-mir-34a-3p,8
hsa-mir-4430-3p,8
hsa-mir-4443-5p,8
hsa-mir-580-3p,8
hsa-mir-1306-3p,8
hsa-mir-6516-3p,8
hsa-mir-653-5p,8
hsa-mir-452-3p,8
hsa-mir-5091-5p,8
hsa-let-7a-3-3p,8
hsa-mir-5000-3p,8
hsa-mir-2355-5p,8
hsa-mir-374b-3p,8
hsa-mir-570-3p,8
hsa-mir-5047-5p,8
hsa-mir-1262-5p,8
hsa-mir-1843-3p,8
hsa-mir-548d-2-5p,7
hsa-mir-199b-3p,7
hsa-mir-548aj-2-5p,7
hsa-mir-3130-1-5p,7
hsa-mir-675-3p,7
hsa-mir-3133-5p,7
hsa-mir-6125-3p,7
hsa-mir-5580-5p,7
hsa-mir-3180-5-5p,7
hsa-mir-3180-4-5p,7
hsa-mir-944-3p,7
hsa-mir-3912-3p,7
