mirna,uni_642,bi_645,tri_647,mat_648
miR5650,0.114529879,0.297992958,0.132622969,0.633677822
miR848,0.114529879,0.087034777,0.580303848,0.369404173
miR5649,0.0,0.472062513,0.671521318,0.0
miR5629,0.119323398,0.385027735,0.621709347,0.0
miR3933,0.0,0.0,0.0,1.10821252
miR5012,0.0,0.683020693,0.0,0.369404173
miR416,0.0,0.0,0.0,1.003081995
miR5634,0.0,0.0,0.0,1.003081995
miR8173,0.233853277,0.595985916,0.0,0.0
miR405,0.238646796,0.261104332,0.0,0.316838911
miR419,0.472500073,0.087034777,0.223840439,0.0
miR4227,0.0,0.297992958,0.447680879,0.0
miR777,0.0,0.0,0.0,0.738808346
miR5652,0.114529879,0.174069555,0.397868908,0.0
miR8170,0.0,0.297992958,0.0,0.369404173
miR4245,0.0,0.0,0.0,0.633677822
miR5025,0.0,0.0,0.0,0.633677822
miR5998,0.0,0.0,0.0,0.633677822
miR782,0.229059758,0.087034777,0.0,0.316838911
miR834,0.233853277,0.087034777,0.265245939,0.0
miR864,0.357970194,0.0,0.223840439,0.0
miR5636,0.353176675,0.174069555,0.0,0.0
miR401,0.114529879,0.087034777,0.0,0.316838911
miR417,0.119323398,0.385027735,0.0,0.0
miR5631,0.0,0.0,0.132622969,0.369404173
miR8169,0.119323398,0.0,0.356463409,0.0
miR5644,0.114529879,0.087034777,0.265245939,0.0
miR5999,0.238646796,0.0,0.223840439,0.0
miR420,0.119323398,0.0,0.0,0.316838911
miR5996,0.119323398,0.0,0.0,0.316838911
miR8182,0.0,0.087034777,0.0,0.316838911
miR5997,0.0,0.0,0.356463409,0.0
miR828,0.0,0.297992958,0.0,0.0
miR8184,0.238646796,0.0,0.0,0.0
miR2938,0.0,0.0,0.223840439,0.0
miR857,0.119323398,0.087034777,0.0,0.0
miR406,0.119323398,0.0,0.0,0.0
miR5666,0.119323398,0.0,0.0,0.0
miR849,0.119323398,0.0,0.0,0.0
miR5017,0.114529879,0.0,0.0,0.0
miR5628,0.114529879,0.0,0.0,0.0
miR5647,0.0,0.087034777,0.0,0.0
