	Count
hsa-mir-27a-3p	67
hsa-mir-4449	66
hsa-mir-1976	65
hsa-mir-6724-5p	65
hsa-mir-320d	64
hsa-mir-6824-3p	62
hsa-mir-26b-5p	62
hsa-mir-6735-5p	62
hsa-mir-6741-3p	62
hsa-let-7g-5p	62
hsa-mir-7704	60
hsa-mir-1268a	59
hsa-mir-2110	58
hsa-let-7d-5p	58
hsa-mir-1268b	58
hsa-mir-4785	57
hsa-mir-659-5p	56
hsa-mir-769-5p	56
hsa-mir-1293	56
hsa-mir-3180-5p	55
hsa-mir-6514-5p	55
hsa-mir-3620-5p	55
hsa-mir-93-5p	54
hsa-mir-148b-3p	53
hsa-mir-6735-3p	52
hsa-mir-6868-3p	52
hsa-mir-6817-3p	51
hsa-mir-1237-3p	51
hsa-mir-4466	51
hsa-mir-3159	50
hsa-mir-4502	50
hsa-mir-1233-3p	49
hsa-mir-5010-3p	49
hsa-mir-619-5p	49
hsa-mir-28-3p	48
hsa-mir-3188	48
hsa-mir-6866-5p	47
hsa-mir-223-3p	46
hsa-mir-6862-5p	46
hsa-mir-6786-3p	46
hsa-mir-663a	45
hsa-mir-200b-3p	44
hsa-mir-4742-3p	44
hsa-mir-6852-5p	43
hsa-mir-6819-3p	43
hsa-mir-8072	42
hsa-mir-4485-3p	42
hsa-mir-4517	42
hsa-mir-6816-3p	41
hsa-mir-181b-5p	41
hsa-mir-6511b-5p	40
hsa-mir-3912-3p	40
hsa-mir-4728-3p	40
hsa-mir-6842-3p	40
hsa-mir-6881-3p	40
hsa-mir-6772-3p	40
hsa-mir-6800-3p	39
hsa-mir-6877-3p	39
hsa-mir-3960	39
hsa-mir-6753-3p	39
hsa-let-7b-5p	39
hsa-mir-5192	39
hsa-mir-573	39
hsa-mir-3651	38
hsa-mir-6783-5p	38
hsa-mir-1227-3p	38
hsa-mir-7703	38
hsa-mir-12135	37
hsa-mir-5701	36
hsa-mir-561-5p	36
hsa-mir-6837-3p	36
hsa-mir-128-3p	36
hsa-mir-30c-5p	35
hsa-mir-345-5p	35
hsa-mir-98-5p	35
hsa-mir-3662	35
hsa-mir-1228-3p	35
hsa-mir-4738-3p	34
hsa-mir-151b	34
hsa-mir-5696	34
hsa-mir-6892-5p	34
hsa-mir-6895-3p	34
hsa-mir-101-3p	33
hsa-mir-6516-3p	33
hsa-mir-4697-3p	33
hsa-mir-941	32
hsa-mir-1257	32
hsa-mir-3064-5p	32
hsa-mir-5702	32
hsa-mir-5010-5p	32
hsa-mir-6084	32
hsa-mir-10400-5p	31
hsa-mir-214-5p	31
hsa-mir-3190-3p	31
hsa-mir-12121	31
hsa-mir-6516-5p	31
hsa-mir-29c-3p	30
hsa-mir-1261	30
hsa-mir-3135b	29
hsa-mir-1272	29
hsa-mir-3916	29
hsa-mir-1236-3p	29
hsa-mir-5088-5p	29
hsa-mir-664a-5p	28
hsa-mir-5092	28
hsa-mir-6738-3p	27
hsa-mir-1248	27
hsa-mir-6737-3p	26
hsa-mir-125b-1-3p	26
hsa-mir-635	26
hsa-mir-548q	25
hsa-mir-1307-3p	25
hsa-mir-6732-3p	25
hsa-let-7e-5p	25
hsa-mir-339-5p	25
hsa-mir-1234-3p	24
hsa-mir-4522	24
hsa-mir-23a-3p	24
hsa-mir-6820-5p	24
hsa-mir-7111-3p	24
hsa-mir-3182	24
hsa-mir-4430	23
hsa-mir-6836-5p	23
hsa-mir-126-5p	23
hsa-mir-2115-5p	23
hsa-mir-4497	22
hsa-mir-6769b-3p	22
hsa-mir-9898	22
hsa-mir-6762-3p	22
hsa-mir-6857-3p	22
hsa-mir-6742-3p	22
hsa-mir-6826-5p	22
